Product title,Product vendor,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Competing on the Edge - Hardcover,Shona L. Brown; Kathleen M. Eisenhardt;,Book,1,26,0,0,26,1.3,27.3
Stories From Panchatantra: Golden Set - Hardcover,"Shiv Kumar Batalvi , Anil Vyas (Illustrator)",Book,1,15,0,0,15,0.75,15.75
It's Following Me,Sheri Radford;,Book,1,15,0,0,15,0.75,15.75
The New Pregnancy & Childbirth- (Hardcover),Sheila Kitzinger;,Book,1,23,0,0,23,1.15,24.15
The Conscious Parent,Shefali Tsabary;,Book,0,28,0,-28,0,0,0
The End of Her,Shari Lapena,Book,1,25,0,0,25,1.25,26.25
The Storybook of Legends,Shannon Hale;,Book,1,18,0,0,18,0.9,18.9
Horses,Seymour Simon;,Book,-1,0,0,-4,-4,-0.2,-4.2
My Oh My a Butterfly,Seuss;,Book,3,180,0,-120,60,3,63
Disney Fairest of all,Serena Valentino,Book,1,21,0,0,21,1.05,22.05
Alchemised,SenLinYu;,Book,1,80,0,0,80,4,84
Abgeschnitten,Sebastian Fitzek; Michael Tsokos;,Book,1,18,0,0,18,0.9,18.9
Batman: Curse of the White Knight- [Hardcover],"Sean Murphy , Klaus Janson",Book,1,70.01,-50.52,0,19.49,0.97,20.46
LEGO(R) DC Superheroes: Attack of the Legion of Doom!,Scholastic;,Book,1,18,-1.58,0,16.42,0.82,17.24
Spider-Man and His Friends,Scholastic;,Book,1,11,0,0,11,0.55,11.55
Convenience Store Woman,Sayaka Murata;,Book,1,22,0,0,22,1.1,23.1
The Pied Piper of Hamelin & Pinocchio,Sawan;Dreamland,Book,1,12.99,-0.64,0,12.35,0.62,12.97
The Circadian Code,Satchin Panda;,Book,1,28,0,0,28,1.4,29.4
Dinosaur,Sarah Walker;,Book,1,10,0,0,10,0.5,10.5
Heir of Fire - Throne of Glass #3,Sarah J. Maas;,Book,2,44,0,0,44,2.2,46.2
Kingdom of Ash - Throne of Glass #7,Sarah J. Maas;,Book,1,22,0,0,22,1.1,23.1
Queen of Shadows - Throne of Glass #4,Sarah J. Maas;,Book,1,22,0,0,22,1.1,23.1
The Assassin's Blade,Sarah J. Maas;,Book,1,15,0,0,15,0.75,15.75
Throne of Glass,SARAH J. MAAS;,Book,1,22,0,0,22,1.1,23.1
Tower of Dawn - Throne of Glass #6,Sarah J. Maas;,Book,1,22,0,0,22,1.1,23.1
A Court of Thorns and Roses,Sarah J. Maas,Book,1,20,0,0,20,1,21
Crown of Midnight - Throne of Glass #2,Sarah J. Maas,Book,0,15,0,-25,-10,-0.5,-10.5
Throne of Glass: Queen of Shadows,Sarah J. Maas,Book,1,22,0,0,22,1.1,23.1
The Enchanted Greenhouse,Sarah Beth Durst;,Book,1,33,0,0,33,1.65,34.65
My First Book about Ramadan,Sara Khan;,Book,1,33,0,0,33,1.65,34.65
My First Picture Book about the Qur'an,Sara Khan;,Book,1,33,0,0,33,1.65,34.65
House Of Gucci,Sara G. Forden;,Book,1,28,0,0,28,1.4,29.4
Children Ramadan Journal,Sana Anwar,Book,5,115,-2.1,0,112.9,5.64,118.54
Anti- Romantic,Samana reza,Book,1,50,0,0,50,2.5,52.5
Things a Bright Girl Can Do,Sally Nicholls;,Book,1,25,0,0,25,1.25,26.25
Children of the Jacaranda Tree,Sahar Delijani;,Book,1,20,0,0,20,1,21
Conspiracy,S. J. Parris;,Book,1,25,0,0,25,1.25,26.25
The Winner's Curse,"Rutkoski, Marie;",Book,1,23,-0.97,0,22.03,1.1,23.13
Phonics Readers: Goose on the Loose,Russell Punter;,Book,1,15,0,0,15,0.75,15.75
Acres Of diamonds,Russell H. Conwell;,Book,1,15,0,0,15,0.75,15.75
Stories Short and Sweet,Ruskin Bond,Book,0,10,0,-10,0,0,0
The Annihilator,RuNyx; Runyx;,Book,1,20,0,0,20,1,21
The Reaper,RuNyx; Runyx;,Book,1,20,0,0,20,1,21
The Emperor,RuNyx;,Book,1,20,0,0,20,1,21
The Jungle Book,Rudyard Kipling;,Book,1,23,0,0,23,1.15,24.15
The Jungle Book #1 The Jungle Book,Rudyard Kipling,Book,1,15,0,0,15,0.75,15.75
Harry Potter and the Half-Blood Prince,"Rowling, J.K.;",Book,1,19,0,0,19,0.95,19.95
